Block,Plot,Size,Alliaria_petiolata,Asclepias_syriaca,Asclepias_tuberosa,Barbarea_vulgaris,Berteroa_incana,Boehmeria_cylindrica,Bromus_inermis,Calystegia_sepium,Cirsium_arvense,Cirsium_vulgare,Coreopsis_tripteris,Dactylis_glomerata,Daucus_carota,Desmodium_illinoense,Elymus_repens,Epilobium_coloratum,Euthamia_graminifolia,Festuca_rubra,Hieracium_caespitosum,Hypericum_perforatum,Leonurus_cardiaca,Linaria_vulgaris,Medicago_lupulina,Monarda_fistulosa,Monarda_punctata,Oenotheria_biennis,Oxalis_stricta,Plantago_lanceolata,Ratibida_pinnata,Rudbeckia_hirta,Silene_vulgaris,Solanum_dulcamara,Solidago_canadensis,Solidago_nemoralis,Solidago_rigida,Sonchus_arvensis,Stellaria_media,Symphyotrichum_novae_angliae,Taraxacum_officinale,Tragopogon_dubius,Verbascum_thapsus,Verbena_stricta
1,1,2,0,0,0,0,0,0,0.328677075,0,0,0,0,0,0.00903862,0,0,0,0.002465078,0.39441249,0,0,0,0.062448644,0,0.038619556,0,0,0,0,0,0,0,0,0.114215283,0.01232539,0.000821693,0,0,0.031224322,0.003286771,0,0,0
1,2,2,0,0,0,0.000708215,0,0,0.283286119,0,0.000708215,0,0,0,0.15509915,0,0,0,0,0.339943343,0,0,0,0.091359773,0,0,0,0,0.001416431,0,0.043909348,0,0,0,0.046033994,0.007790368,0,0,0.021246459,0,0.002832861,0,0,0
1,3,2,0,0,0,0,0,0,0.044137931,0,0,0,0,0,0.005517241,0,0,0,0,0.662068966,0,0,0,0.022068966,0,0,0,0,0,0,0.052413793,0,0,0,0.136551724,0.042758621,0,0,0,0.006896552,0.002758621,0,0,0
1,4,2,0,0,0,0.017777778,0,0,0.533333333,0,0,0,0,0,0.016666667,0,0,0,0.006666667,0.106666667,0,0,0,0.037777778,0,0.072222222,0,0,0,0,0,0,0,0,0.157777778,0.03,0,0,0,0.014444444,0,0,0,0
2,1,2,0,0,0,0.01518785,0,0,0.153477218,0.000799361,0,0,0,0,0.059152678,0,0,0,0,0.383693046,0.020783373,0,0,0,0.007194245,0.129496403,0,0,0,0,0,0,0,0,0.112709832,0.004796163,0,0,0.005595524,0.010391687,0.004796163,0,0,0
2,2,2,0.041818182,0,0,0.019090909,0.000909091,0,0.072727273,0.006363636,0,0.000909091,0,0,0.111818182,0,0,0,0,0.305454545,0,0.003636364,0,0,0.005454545,0.102727273,0,0,0.001818182,0,0,0,0,0,0.126363636,0.061818182,0,0,0.009090909,0.017272727,0.005454545,0,0,0
2,3,2,0,0,0,0,0,0,0.09833187,0,0,0,0,0,0.071992976,0,0,0.000877963,0,0.63213345,0.002633889,0.000877963,0,0.005267779,0,0.002633889,0,0,0,0,0.009657594,0,0,0,0.115013169,0.016681299,0,0.000877963,0.008779631,0.015803336,0.004389816,0,0,0
2,4,2,0,0,0,0,0.003620565,0,0.057929037,0.013758146,0,0,0,0,0.053584359,0,0,0,0,0.695148443,0.004344678,0,0,0.01230992,0,0,0,0,0,0,0.002896452,0,0,0,0.064446054,0.041998552,0,0,0,0.015206372,0.004344678,0,0,0
3,1,2,0,0,0,0,0,0,0.32805219,0,0,0.000931966,0,0,0.020503262,0,0,0,0.003727866,0.447343896,0,0,0,0,0.001863933,0.008387698,0,0,0.001863933,0,0.012115564,0,0.001863933,0,0.110904007,0.009319664,0,0.017707363,0.008387698,0.007455732,0.000931966,0,0,0
3,2,2,0,0,0,0.002218935,0.002218935,0,0.071005917,0.003698225,0,0,0,0,0.041420118,0.002218935,0,0,0.003698225,0.603550296,0,0,0,0,0,0.063609467,0,0.00295858,0.005177515,0,0,0,0.00739645,0,0.13239645,0.01183432,0,0,0.00443787,0.039940828,0,0,0,0
3,3,2,0,0,0,0,0,0,0.23255814,0,0.010174419,0.004360465,0,0,0.020348837,0,0,0,0,0.348837209,0,0,0,0,0.004360465,0.004360465,0,0,0,0,0.002906977,0,0,0,0.293604651,0.020348837,0,0.030523256,0.005813953,0.011627907,0,0,0,0
3,4,2,0,0,0,0.002057613,0,0,0.098765432,0.08436214,0,0,0,0,0.057613169,0,0,0,0,0.098765432,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.419753086,0.016460905,0,0.004115226,0,0.018518519,0.002057613,0,0,0
4,1,2,0,0,0,0.003984064,0,0,0.02124834,0.22310757,0.005312085,0,0,0,0.029216467,0,0,0,0,0.19123506,0,0,0,0,0.015936255,0.118193891,0,0,0.01062417,0,0.001328021,0,0,0,0.225763612,0.062416999,0,0,0.003984064,0.002656042,0.002656042,0,0,0
4,2,2,0,0.001340483,0,0,0.036193029,0,0.107238606,0.030831099,0.004021448,0,0,0,0.024128686,0,0,0,0,0.321715818,0,0,0,0,0.022788204,0.117962466,0,0,0.008042895,0,0,0,0,0,0.246648794,0.026809651,0,0,0.008042895,0.033512064,0.001340483,0,0,0
4,3,2,0,0.004149378,0,0,0,0,0.033195021,0.128630705,0.008298755,0,0,0,0.006224066,0,0,0,0,0.099585062,0,0,0,0,0.03526971,0,0,0,0.020746888,0,0.014522822,0,0,0,0.439834025,0.01659751,0,0.008298755,0.018672199,0,0.006224066,0,0,0
4,4,2,0,0.005738881,0,0,0,0,0.160688666,0.044476327,0,0,0,0,0.017216643,0,0,0,0,0.344332855,0,0,0,0,0.011477762,0,0,0,0.014347202,0,0,0,0,0,0.245337159,0.011477762,0,0,0,0.00143472,0.00286944,0,0,0
5,1,2,0.06539075,0.001594896,0,0,0.028708134,0,0,0,0,0,0,0,0.001594896,0.009569378,0,0,0,0.076555024,0,0,0,0,0.01754386,0.086124402,0,0,0.019138756,0,0,0,0,0,0.38277512,0.09569378,0,0,0.009569378,0.025518341,0.009569378,0,0,0
5,2,2,0,0.001526718,0,0.00610687,0,0.001526718,0,0.109923664,0.01221374,0,0,0,0.120610687,0.004580153,0,0,0,0.146564885,0.001526718,0,0.001526718,0,0.015267176,0.032061069,0,0,0.013740458,0,0,0,0,0,0.444274809,0.019847328,0,0,0.025954198,0.018320611,0,0,0,0
5,3,2,0,0,0,0.004494382,0.047191011,0,0,0.024719101,0,0,0,0,0.053932584,0,0,0,0,0.215730337,0,0,0.006741573,0,0,0,0,0,0,0,0,0,0,0,0.505617978,0.015730337,0,0.031460674,0.008988764,0.002247191,0,0,0,0
5,4,2,0,0.005524862,0,0,0.020257827,0,0,0.025782689,0,0,0,0,0.027624309,0,0,0,0.001841621,0.26519337,0,0,0,0,0.02946593,0,0,0,0.012891344,0,0.003683241,0,0,0,0.405156538,0.066298343,0,0.005524862,0.031307551,0.033149171,0.009208103,0,0,0
