Block,Size,Plot,Species,Ab-1,Ab-2,Ab-3
1,0.5,1,Asclepias_tuberosa,1,1,1
1,0.5,1,Bromus_inermis,52,20,1
1,0.5,1,Cirsium_vulgare,1,1,0
1,0.5,1,Daucus_carota,12,12,4
1,0.5,1,Dianthus_armeria,2,0,0
1,0.5,1,Elymus_repens,30,30,30
1,0.5,1,Linaria_vulgaris,14,21,0
1,0.5,1,Medicago_lupulina,1,1,1
1,0.5,1,Monarda_fistulosa,4,2,2
1,0.5,1,Monarda_punctata,2,2,2
1,0.5,1,Solidago_canadensis,33,33,33
1,0.5,1,Solidago_nemoralis,34,3,3
1,0.5,1,Stellaria_media,5,5,5
1,0.5,3,Bromus_inermis,6,1,1
1,0.5,3,Daucus_carota,3,3,1
1,0.5,3,Festuca_rubra,135,135,135
1,0.5,3,Linaria_vulgaris,5,5,2
1,0.5,3,Monarda_fistulosa,51,26,24
1,0.5,3,Solidago_canadensis,35,35,19
1,0.5,3,Taraxacum_officinale,5,5,5
1,2,2,Asclepias_syriaca,1,1,1
1,2,2,Asclepias_tuberosa,1,1,1
1,2,2,Bromus_inermis,160,160,160
1,2,2,Daucus_carota,34,11,11
1,2,2,Desmodium_illinoense,3,3,3
1,2,2,Elymus_repens,800,800,800
1,2,2,Festuca_rubra,480,480,480
1,2,2,Linaria_vulgaris,64,64,64
1,2,2,Monarda_fistulosa,2,2,2
1,2,2,Ratibida_pinnata,73,73,33
1,2,2,Solidago_canadensis,208,98,72
1,2,2,Solidago_nemoralis,2,0,0
1,2,2,Stellaria_media,2,1,1
1,2,2,Symphyotrichum_ericoides,1,1,1
1,2,2,Taraxacum_officinale,3,0,0
1,2,2,Tragopogon_dubius,2,2,0
1,2,2,Veronica_arvensis,3,0,0
1,2,4,Barbarea_vulgaris,8,0,0
1,2,4,Bromus_inermis,32,32,32
1,2,4,Daucus_carota,1,1,0
1,2,4,Elymus_repens,480,480,480
1,2,4,Euthamia_graminifolia,4,1,0
1,2,4,Festuca_rubra,480,480,24
1,2,4,Hypericum_perforatum,1,1,1
1,2,4,Linaria_vulgaris,28,28,10
1,2,4,Monarda_fistulosa,93,86,62
1,2,4,Oxalis_stricta,3,3,0
1,2,4,Solidago_canadensis,254,237,76
1,2,4,Solidago_nemoralis,17,17,17
1,2,4,Symphyotrichum_novae-angliae,16,8,7
2,0.5,1,Bromus_inermis,30,10,5
2,0.5,1,Elymus_repens,4,4,4
2,0.5,1,Festuca_rubra,6,0,0
2,0.5,1,Monarda_fistulosa,50,47,26
2,0.5,1,Solidago_canadensis,80,80,23
2,0.5,1,Sonchus_oleraceous,2,2,1
2,0.5,1,Symphyotrichum_novae-angliae,1,1,1
2,0.5,1,Taraxacum_officinale,1,0,0
2,0.5,1,Thin_grass,5,5,0
2,0.5,3,Berteroa_incana,2,2,0
2,0.5,3,Daucus_carota,13,13,6
2,0.5,3,Festuca_rubra,15,0,0
2,0.5,3,Monarda_fistulosa,69,67,34
2,0.5,3,Solidago_canadensis,34,34,13
2,0.5,3,Solidago_nemoralis,4,4,4
2,0.5,3,Thin_grass,10,10,0
2,2,2,Alliaria_petiolata,3,0,0
2,2,2,Berteroa_incana,15,2,2
2,2,2,Calystegia_sepium,52,52,52
2,2,2,Daucus_carota,17,7,5
2,2,2,Festuca_rubra,240,24,0
2,2,2,Galium_aparine,49,0,0
2,2,2,Hypericum_perforatum,6,6,6
2,2,2,Medicago_lupulina,6,0,0
2,2,2,Monarda_fistulosa,87,68,68
2,2,2,Solidago_canadensis,183,183,119
2,2,2,Solidago_nemoralis,34,34,3
2,2,2,Stellaria_media,1,0,0
2,2,2,Symphyotrichum_ericoides,63,39,27
2,2,2,Symphyotrichum_novae-angliae,20,19,19
2,2,2,Taraxacum_officinale,4,0,0
2,2,2,Veronica_arvensis,2,0,0
2,2,4,Asclepias_syriaca,5,5,4
2,2,4,Bromus_inermis,32,8,8
2,2,4,Calystegia_sepium,41,41,41
2,2,4,Coreopsis_tripteris,24,24,13
2,2,4,Daucus_carota,6,6,4
2,2,4,Elymus_repens,32,32,16
2,2,4,Festuca_rubra,720,480,480
2,2,4,Linaria_vulgaris,5,0,0
2,2,4,Medicago_lupulina,1,0,0
2,2,4,Monarda_fistulosa,9,7,0
2,2,4,Parthenocissus_quinquefolia,1,0,0
2,2,4,Ratibida_pinnata,19,19,19
2,2,4,Solidago_canadensis,221,221,146
2,2,4,Solidago_nemoralis,13,13,8
2,2,4,Symphyotrichum_ericoides,58,58,57
2,2,4,Symphyotrichum_novae-angliae,29,29,29
2,2,4,Taraxacum_officinale,8,1,0
3,0.5,1,Bromus_inermis,3,3,0
3,0.5,1,Daucus_carota,1,1,0
3,0.5,1,Elymus_repens,1,1,1
3,0.5,1,Festuca_rubra,30,30,15
3,0.5,1,Monarda_fistulosa,64,64,57
3,0.5,1,Solidago_canadensis,47,42,21
3,0.5,3,Calystegia_sepium,2,0,0
3,0.5,3,Daucus_carota,3,3,2
3,0.5,3,Festuca_rubra,30,30,3
3,0.5,3,Monarda_fistulosa,22,22,17
3,0.5,3,Solidago_canadensis,50,50,38
3,0.5,3,Solidago_nemoralis,43,0,0
3,0.5,3,Symphyotrichum_novae-angliae,10,2,1
3,0.5,3,Taraxacum_officinale,1,0,0
3,2,2,Asclepias_syriaca,2,2,2
3,2,2,Berteroa_incana,1,1,1
3,2,2,Bromus_inermis,80,80,8
3,2,2,Calystegia_sepium,11,11,0
3,2,2,Daucus_carota,9,9,9
3,2,2,Desmodium_illinoense,2,2,0
3,2,2,Dianthus_armeria,6,6,0
3,2,2,Elymus_repens,160,160,160
3,2,2,Euthamia_graminifolia,6,6,3
3,2,2,Festuca_rubra,720,720,720
3,2,2,Liparis_loeselii,2,2,0
3,2,2,Galium_aparine,1,0,0
3,2,2,Medicago_lupulina,2,0,0
3,2,2,Monarda_fistulosa,58,47,47
3,2,2,Oenothera_biennis,3,3,3
3,2,2,Oxalis_stricta,3,0,0
3,2,2,Silene_latifolia,4,0,0
3,2,2,Silene_vulgaris,2,0,0
3,2,2,Solidago_canadensis,238,146,146
3,2,2,Solidago_nemoralis,20,0,0
3,2,2,Symphyotrichum_ericoides,1,1,1
3,2,2,Symphyotrichum_novae-angliae,15,7,0
3,2,2,Taraxacum_officinale,3,3,3
3,2,2,Verbascum_thapsus,2,2,2
3,2,4,Barbarea_vulgaris,1,1,0
3,2,4,Bromus_inermis,8,8,8
3,2,4,Calystegia_sepium,69,42,42
3,2,4,Daucus_carota,6,6,2
3,2,4,Elymus_repens,16,16,16
3,2,4,Festuca_rubra,240,240,240
3,2,4,Galium_aparine,4,0,0
3,2,4,Medicago_lupulina,3,3,0
3,2,4,Monarda_fistulosa,91,52,52
3,2,4,Solidago_canadensis,234,195,146
3,2,4,Solidago_nemoralis,21,21,5
3,2,4,Sonchus_oleraceous,2,1,0
3,2,4,Symphyotrichum_ericoides,9,9,9
3,2,4,Symphyotrichum_novae-angliae,16,9,9
3,2,4,Taraxacum_officinale,3,1,0
3,2,4,Thin_grass,16,16,0
4,0.5,1,Calystegia_sepium,7,7,4
4,0.5,1,Desmodium_illinoense,12,12,6
4,0.5,1,Festuca_rubra,15,15,0
4,0.5,1,Monarda_fistulosa,63,41,18
4,0.5,1,Solidago_canadensis,67,63,48
4,0.5,1,Taraxacum_officinale,1,0,0
4,0.5,3,Calystegia_sepium,4,4,3
4,0.5,3,Coreopsis_tripteris,28,28,28
4,0.5,3,Desmodium_illinoense,3,3,3
4,0.5,3,Festuca_rubra,30,30,0
4,0.5,3,Monarda_fistulosa,3,2,0
4,0.5,3,Solidago_canadensis,61,61,21
4,0.5,3,Solidago_nemoralis,8,8,8
4,0.5,3,Symphyotrichum_novae-angliae,1,0,0
4,0.5,3,Taraxacum_officinale,1,1,0
4,2,2,Bromus_inermis,320,16,16
4,2,2,Calystegia_sepium,55,11,11
4,2,2,Daucus_carota,3,3,2
4,2,2,Desmodium_illinoense,1,0,0
4,2,2,Elymus_repens,64,64,64
4,2,2,Festuca_rubra,48,0,0
4,2,2,Monarda_fistulosa,76,74,74
4,2,2,Solidago_canadensis,221,221,156
4,2,2,Solidago_nemoralis,44,44,0
4,2,2,Symphyotrichum_ericoides,7,7,7
4,2,2,Symphyotrichum_novae-angliae,23,22,17
4,2,2,Tragopogon_dubius,1,1,1
4,2,2,Veronica_arvensis,1,1,0
4,2,4,Bromus_inermis,160,0,0
4,2,4,Calystegia_sepium,74,19,19
4,2,4,Coreopsis_tripteris,78,78,78
4,2,4,Elymus_repens,160,160,32
4,2,4,Festuca_rubra,240,0,0
4,2,4,Galium_aparine,15,0,0
4,2,4,Medicago_lupulina,24,0,0
4,2,4,Ratibida_pinnata,2,0,0
4,2,4,Solidago_canadensis,274,208,157
4,2,4,Solidago_nemoralis,34,34,0
4,2,4,Symphyotrichum_ericoides,6,6,6
4,2,4,Symphyotrichum_novae-angliae,2,2,2
4,2,4,Taraxacum_officinale,1,0,0
5,0.5,1,Desmodium_illinoense,12,12,4
5,0.5,1,Festuca_rubra,9,9,0
5,0.5,1,Solidago_canadensis,114,114,76
5,0.5,1,Symphyotrichum_ericoides,1,0,0
5,0.5,1,Veronica_arvensis,1,0,0
5,0.5,3,Bromus_inermis,20,5,0
5,0.5,3,Calystegia_sepium,12,12,0
5,0.5,3,Desmodium_illinoense,1,1,0
5,0.5,3,Elymus_repens,10,10,10
5,0.5,3,Festuca_rubra,15,15,0
5,0.5,3,Solidago_canadensis,65,65,65
5,0.5,3,Solidago_rigida,1,1,0
5,0.5,3,Symphyotrichum_novae-angliae,1,0,0
5,0.5,3,Taraxacum_officinale,84,7,6
5,2,2,Boehmeria_cylindrica,2,2,0
5,2,2,Bromus_inermis,8,0,0
5,2,2,Calystegia_sepium,86,45,45
5,2,2,Cirsium_arvense,4,1,0
5,2,2,Desmodium_illinoense,4,4,1
5,2,2,Elymus_repens,32,32,0
5,2,2,Festuca_rubra,24,0,0
5,2,2,Medicago_lupulina,16,0,0
5,2,2,Monarda_fistulosa,26,26,26
5,2,2,Oenothera_biennis,4,4,4
5,2,2,Oxalis_stricta,2,0,0
5,2,2,Scrophularia_lanceolata,8,6,4
5,2,2,Solidago_canadensis,278,234,226
5,2,2,Solidago_nemoralis,33,28,0
5,2,2,Symphyotrichum_ericoides,3,3,3
5,2,2,Symphyotrichum_novae-angliae,16,13,13
5,2,2,Taraxacum_officinale,23,0,0
5,2,4,Asclepias_syriaca,2,0,0
5,2,4,Berteroa_incana,5,0,0
5,2,4,Bromus_inermis,8,0,0
5,2,4,Calystegia_sepium,56,12,7
5,2,4,Elymus_repens,16,16,16
5,2,4,Euthamia_graminifolia,8,8,4
5,2,4,Festuca_rubra,96,0,0
5,2,4,Galium_aparine,4,0,0
5,2,4,Medicago_lupulina,17,0,0
5,2,4,Monarda_fistulosa,2,0,0
5,2,4,Oxalis_stricta,2,0,0
5,2,4,Ratibida_pinnata,3,3,0
5,2,4,Solidago_canadensis,276,258,195
5,2,4,Solidago_nemoralis,26,26,17
5,2,4,Stellaria_media,2,0,0
5,2,4,Symphyotrichum_ericoides,8,7,7
5,2,4,Symphyotrichum_novae-angliae,38,24,24
