Block,Size,Plot,Species,ID,Area (cm2),Time 1,Dry Mass (g),SLA 1,Area (cm2),Time 2,Dry Mass (g),SLA 2,Area (cm2),Time 3,Dry Mass (g),SLA 3
1,0.5,1,Bromus inermis,B,14.69,06-Jun,0.067,219.2537313,13.6,15-Jul,0.0713,190.743338,,08-Aug,,#DIV/0!
1,0.5,1,Bromus inermis,O,9.22,06-Jun,0.058,158.9655172,10.91,15-Jul,0.0663,164.5550528,12.26,08-Aug,0.0627,195.5342903
1,0.5,1,Bromus inermis,BO,12.39,06-Jun,0.054,229.4444444,6.44,15-Jul,0.0305,211.147541,5.13,08-Aug,0.0218,235.3211009
1,0.5,1,Daucus carota,B,1.99,06-Jun,0.005,398,6.96,15-Jul,0.0264,263.6363636,,08-Aug,,#DIV/0!
1,0.5,1,Daucus carota,O,8.44,06-Jun,0.028,301.4285714,,15-Jul,,#DIV/0!,26.8,08-Aug,0.1671,160.3830042
1,0.5,1,Daucus carota,BO,3.56,06-Jun,0.015,237.3333333,36.02,15-Jul,0.2877,125.199861,24.98,08-Aug,0.2236,111.7173524
1,0.5,1,Dianthus armeria,B,1.3,06-Jun,0.001,1300,0.77,15-Jul,0.0013,592.3076923,0.85,08-Aug,0.0031,274.1935484
1,0.5,1,Dianthus armeria,O,1.03,06-Jun,0.001,1030,1.02,15-Jul,0.0025,408,1.53,08-Aug,0.0032,478.125
1,0.5,1,Linaria vulgaris,O,0.64,06-Jun,0.001,640,0.63,15-Jul,0.0024,262.5,,08-Aug,,#DIV/0!
1,0.5,1,Linaria vulgaris,B,0.88,06-Jun,0.001,880,0.94,15-Jul,0.0032,293.75,0.82,08-Aug,0.0032,256.25
1,0.5,1,Linaria vulgaris,BO,0.71,06-Jun,0.001,710,1.32,15-Jul,0.0046,286.9565217,1.14,08-Aug,0.0025,456
1,0.5,1,Monarda fistulosa,BO,3.47,06-Jun,0.023,150.8695652,7.52,15-Jul,0.0392,191.8367347,7.35,08-Aug,0.0358,205.3072626
1,0.5,1,Monarda fistulosa,B,2.55,06-Jun,0.006,425,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,0.5,1,Monarda fistulosa,O,4.59,06-Jun,0.016,286.875,8.44,15-Jul,0.0329,256.5349544,4.85,08-Aug,0.0361,134.3490305
1,0.5,1,Solidago nemoralis,B,8.04,06-Jun,0.035,229.7142857,6.35,15-Jul,0.0394,161.1675127,,08-Aug,,#DIV/0!
1,0.5,1,Solidago nemoralis,O,15.58,06-Jun,0.071,219.4366197,8.37,15-Jul,0.0831,100.7220217,12.21,08-Aug,0.075,162.8
1,0.5,1,Solidago nemoralis,BO,12.14,06-Jun,0.67,18.11940299,2.77,15-Jul,0.0187,148.1283422,5.61,08-Aug,0.0469,119.6162047
1,0.5,3,Bromus inermis,BO,8.39,06-Jun,0.047,178.5106383,12.95,15-Jul,0.088,147.1590909,13.31,08-Aug,0.0921,144.5168295
1,0.5,3,Bromus inermis,O,15.47,06-Jun,0.094,164.5744681,6,15-Jul,0.036,166.6666667,12.38,08-Aug,0.0775,159.7419355
1,0.5,3,Bromus inermis,B,2.19,06-Jun,0.007,312.8571429,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,0.5,3,Festuca rubra,BO,0.35,06-Jun,0.001,350,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,0.5,3,Festuca rubra,O,0.6,06-Jun,0.001,600,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,0.5,3,Festuca rubra,B,1.24,06-Jun,0.008,155,0.97,15-Jul,0.007,138.5714286,,08-Aug,,#DIV/0!
1,0.5,3,Linaria vulgaris,O,0.53,06-Jun,0.001,530,0.31,15-Jul,0.001,310,0.55,08-Aug,0.001,550
1,0.5,3,Linaria vulgaris,B,0.84,06-Jun,0.001,840,1.04,15-Jul,0.001,1040,,08-Aug,,#DIV/0!
1,0.5,3,Monarda fistulosa,B,4.78,06-Jun,0.015,318.6666667,9.68,15-Jul,0.056,172.8571429,14.73,08-Aug,0.0751,196.138482
1,0.5,3,Monarda fistulosa,BO,13.47,06-Jun,0.07,192.4285714,16.79,15-Jul,0.108,155.462963,21.64,08-Aug,0.124,174.516129
1,0.5,3,Monarda fistulosa,O,7.64,06-Jun,0.027,282.962963,13.21,15-Jul,0.038,347.6315789,17.38,08-Aug,0.0814,213.5135135
1,0.5,3,Solidago canadensis,O,12.28,06-Jun,0.068,180.5882353,9.64,15-Jul,0.059,163.3898305,9.13,08-Aug,0.0721,126.629681
1,0.5,3,Solidago canadensis,BO,24.64,06-Jun,0.153,161.0457516,14.21,15-Jul,0.105,135.3333333,10.39,08-Aug,0.0925,112.3243243
1,0.5,3,Solidago canadensis,B,15.3,06-Jun,0.08,191.25,8.78,15-Jul,0.073,120.2739726,9.01,08-Aug,0.0793,113.6191677
1,0.5,3,Taraxacum officinale,BO,23.12,06-Jun,0.094,245.9574468,49.09,15-Jul,0.186,263.9247312,72.69,08-Aug,0.3964,183.3753784
1,0.5,3,Taraxacum officinale,B,14.07,06-Jun,0.042,335,15.89,15-Jul,0.059,269.3220339,64.92,08-Aug,0.2825,229.8053097
1,0.5,3,Taraxacum officinale,O,25.77,06-Jun,0.106,243.1132075,50.21,15-Jul,0.135,371.9259259,95.85,08-Aug,0.3735,256.626506
1,2,2,Asclepias syriaca,O,8.02,06-Jun,0.019,422.1052632,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,2,Bromus inermis,B,12.68,06-Jun,0.071,178.5915493,10.08,15-Jul,0.059,170.8474576,12.2,08-Aug,0.0755,161.589404
1,2,2,Bromus inermis,O,11.97,06-Jun,0.058,206.3793103,4.44,15-Jul,0.027,164.4444444,7.55,08-Aug,0.0464,162.7155172
1,2,2,Bromus inermis,BO,12.61,06-Jun,0.065,194,6.25,15-Jul,0.065,96.15384615,7.95,08-Aug,0.0525,151.4285714
1,2,2,Daucus carota,BO,4.04,06-Jun,0.025,161.6,0.81,15-Jul,0.001,810,,08-Aug,,#DIV/0!
1,2,2,Daucus carota,B,1.92,06-Jun,0.011,174.5454545,7.54,15-Jul,0.015,502.6666667,,08-Aug,,#DIV/0!
1,2,2,Daucus carota,O,2.85,06-Jun,0.012,237.5,8.42,15-Jul,0.061,138.0327869,,08-Aug,,#DIV/0!
1,2,2,Festuca rubra,BO,0.76,06-Jun,0.01,76,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,2,Festuca rubra,B,0.57,06-Jun,0.001,570,0.95,15-Jul,0.006,158.3333333,,08-Aug,,#DIV/0!
1,2,2,Festuca rubra,O,0.78,06-Jun,0.007,111.4285714,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,2,Linaria vulgaris,B,0.4,06-Jun,0.001,400,0.15,15-Jul,0.001,150,0.15,08-Aug,0.0004,375
1,2,2,Linaria vulgaris,BO,0.22,06-Jun,0.001,220,0.26,15-Jul,0.001,260,0.23,08-Aug,0.0012,191.6666667
1,2,2,Linaria vulgaris,O,0.17,06-Jun,0.001,170,0.58,15-Jul,0.001,580,0.41,08-Aug,0.0016,256.25
1,2,2,Ratibida pinnata,B,37.83,06-Jun,0.236,160.2966102,11.15,15-Jul,0.092,121.1956522,25.53,08-Aug,0.3055,83.56792144
1,2,2,Ratibida pinnata,O,21.21,06-Jun,0.102,207.9411765,18.05,15-Jul,0.132,136.7424242,71.13,08-Aug,0.6202,114.6888101
1,2,2,Ratibida pinnata,OO,45.27,06-Jun,0.271,167.0479705,38.49,15-Jul,0.258,149.1860465,25.46,08-Aug,0.2652,96.00301659
1,2,2,Solidago canadensis,BO,7.49,06-Jun,0.041,182.6829268,2.42,15-Jul,0.008,302.5,4.35,08-Aug,0.0244,178.2786885
1,2,2,Solidago canadensis,O,14.04,06-Jun,0.09,156,3.38,15-Jul,0.02,169,2.03,08-Aug,0.0139,146.0431655
1,2,2,Solidago canadensis,B,5.45,06-Jun,0.023,236.9565217,4.64,15-Jul,0.042,110.4761905,4.14,08-Aug,0.0478,86.61087866
1,2,2,Solidago nemoralis,B,5.72,06-Jun,0.035,163.4285714,12.04,15-Jul,0.084,143.3333333,12.02,08-Aug,0.1035,116.1352657
1,2,2,Solidago nemoralis,O,9.65,06-Jun,0.066,146.2121212,6.88,15-Jul,0.042,163.8095238,20.38,08-Aug,0.1946,104.7276465
1,2,2,Stellaria media,OO,0.25,06-Jun,0.001,250,0.28,15-Jul,0.001,280,0.02,08-Aug,0.0013,15.38461538
