,Block,Plot,Plot.size,Mix,Partial,Fert,Year,Agrostis_gigantea,Alliaria_petiolata,Amaranthus_powellii,Ambrosia_artemisiifolia,Andropogon_gerardii,Aruncus_dioicus,Asclepias_syriaca,Asclepias_tuberosa,Barbarea_vulgaris,Berteroa_incana,Boehmeria_cylindrica,Brassica_rapa,Bromus_inermis,Calystegia_sepium,Capsella_bursa_pastoris,Cerastium_fontanum,Chenopodium_album,Cirsium_arvense,Cirsium_vulgare,Coreopsis_lanceolata,Coreopsis_tripteris,Cynoglossum_officinale,Dactylis_glomerata,Daucus_carota,Desmodium_canadense,Desmodium_illinoense,Dianthus_armeria,Digitaria_ischaemum,Elymus_repens,Epilobium_coloratum,Erigeron_annuus,Erigeron_canadensis,Erigeron_philadelphicus,Erigeron_strigosus,Euthamia_graminifolia,Eutrochium_maculatum,Festuca_rubra,Fragaria_virginiana,Galium_aparine,Goodyera_pubescens,Graphilium_uli,Hieracium_caespitosum,Hieracium_pratense,Hypericum_perforatum,Lactuca_serriola,Leonurus_cardiaca,Lespedeza_hirta,Lespedeza_intermedia,Leucanthemum_vulgare,Liatris_aspera,Liatris_spicata,Linaria_vulgaris,Lolium_multiflorum,Lolium_perenne,Medicago_lupulina,Melilotus_albus,Monarda_fistulosa,Monarda_punctata,Oenothera_biennis,Oxalis_stricta,Panicum_capillare,Panicum_miliaceum,Panicum_virgatum,Penstemon_digitalis,Persicaria_lapathifolia,Phleum_pratense,Plantago_lanceolata,Plantago_major,Portulaca_oleracea,Potentilla_arguta,Potentilla_recta,Ratibida_pinnata,Rudbeckia_hirta,Sanicula_canadensis,Satureja_vulgaris,Schizachyrium_scoparium,Scrophularia_lanceolata,Senecio_vulgaris,Setaria_viridis,Silene_latifolia,Silene_vulgaris,Solanum_dulcamara,Solidago_canadensis,Solidago_nemoralis,Solidago_rigida,Sonchus_arvensis,Sonchus_oleraceus,Sorghastrum_nutans,Stellaria_media,Symphyotrichum_ericoides,Symphyotrichum_lanceolatum,Symphyotrichum_lateriflorum,Symphyotrichum_novae_angliae,Taraxacum_officinale,Tragopogon_dubius,Trifolium_pratense,Trifolium_repens,Verbascum_thapsus,Verbena_stricta,Veronica_arvensis,Veronica_officinalis
1,1,1,0.5,TGP,N,Y,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0
2,1,1,0.5,TGP,N,Y,2016,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,0.5,TGP,N,Y,2017,0,0,0,0,0,0,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0
4,1,1,0.5,TGP,N,Y,2014,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,29,0,9,0,0,0,0,0,0,0,108,0,0,0,0
5,1,1,1,TGP,Y,Y,2013,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
6,1,1,1,TGP,Y,Y,2017,0,63,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,23,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,86,6,0,0,0,0,4,0,0,0,24,4,0,0,0,0,0,8,0
7,1,1,1,TGP,Y,Y,2016,0,23,0,0,0,0,0,0,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,31,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,2,1,0,0,0,0,0,0
8,1,1,2,OF,N,N,2013,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,7,0,0,75,2,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,31,0,0,17,0,104,0,1,2,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,4,0,41,0,0,0,4,1,0,0,0,4,1,2,0
9,1,1,2,OF,N,N,2016,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,21,0,0,0,2,0,0,0,3,0,9,0,0,1,4,0,0,0,0,4,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,30,0,156,0,0,4,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,2,0,0,0,15,6,0,0,0,0,8,0,0
10,1,1,2,OF,N,N,2014,0,0,0,0,0,0,2,0,27,0,0,0,25,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,210,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,5,0,0,0,4,0,0,0,64,2,2,0,0
11,1,1,2,OF,N,N,2017,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,172,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,62,0,194,0,2,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,173,8,1,0,0,0,9,0,0,0,62,8,0,0,0,0,2,14,0
12,1,2,0.5,TGP,Y,N,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,1,2,0.5,TGP,Y,N,2017,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0
14,1,2,0.5,TGP,Y,N,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
