Species,Height,LDMC,Leaf_N,SLA
Agrostis_gigantea,58.575,0.326086496,NA,24.4355019
Alliaria_petiolata,98.14736842,0.170105042,2.279562634,36.47441662
Ambrosia_artemesiifolia,49.22857143,0.236630862,2.066491633,20.99925858
Asclepias_syriaca,80.55416667,0.199618684,1.475879328,19.45268917
Asclepias_tuberosa,67.4625,0.211292817,1.388366818,17.44488197
Barbarea_vulgaris,64.208,0.167261529,0.037633333,25.0953287
Berteroa_incana,69.588,0.243008877,0.961060557,12.85862022
Boehmeria_cylindrica,106.536,0.310730396,0.0261,25.83992064
Bromus_inermis,95.15,0.349718983,1.666970243,18.58748612
Calystegia_sepium,54.044,0.206104549,0.038866667,26.90508306
Capsella_bursa_pastoris,59.56666667,0.168494559,1.894234583,27.81809238
Cerastium_fontanum,20.53214286,0.137318479,0.963208007,39.87357975
Chenopodium_album,67.835,0.15611195,1.772495342,28.87058791
Cirsium_arvense,121.2076923,0.17157979,1.204177128,15.8582873
Cirsium_vulgare,123.58,0.162027384,1.631933334,16.54248136
Coreopsis_lanceolata,54.67692308,0.182064718,1.790299167,27.38738714
Coreopsis_tripteris,161.92,0.370178615,0.018333333,7.823713691
Dactylis_glomerata,72.29257557,0.300695357,1.279225421,22.07567592
Daucus_carota,122.2555556,0.250482187,0.98063528,18.20358544
Desmodium_illinoense,109.68,0.309433246,1.428766667,11.99369849
Dianthus_armeria,52.18,0.213773847,0.994833334,13.0998919
Elymus_repens,106.436,0.320241554,1.910633759,23.7722362
Epilobium_coloratum,52.77777778,0.24412953,0.92005,19.19352869
Erigeron_annuus,72.63333333,0.284600518,0.023566667,18.17591139
Erigeron_canadensis,114.5705882,0.234567423,1.522120875,23.15467621
Erigeron_philadelphicus,60.98484848,0.218472646,1.103883334,30.66113124
Erigeron_strigosus,103.9870968,0.239671502,1.23765,24.46692864
Euthamia_graminifolia,74.35454545,0.377273263,1.02278546,14.31825544
Festuca_rubra,77.64285714,0.315434617,0.823944053,14.58191443
Fragaria_virginiana,NA,0.371911457,1.945600232,16.07338681
Galium_aparine,62.005,0.14461735,1.354810111,34.71755498
Hieracium_caespitosum,57.72173913,0.166345356,0.019266667,23.90879766
Hieracium_pratense,44.51153846,0.185081352,0.014366667,19.27227664
Hypericum_perforatum,76.96923077,0.314698457,1.200298782,25.42731375
Lactuca_serriola,155.6642857,0.185567503,1.534625959,19.24049081
Leonurus_cardiaca,101.6578947,0.251896219,0.0318,35.47093418
Lespedeza_hirta,111.44,NA,NA,NA
Leucanthemum_vulgare,51.26470588,0.169138627,1.090168112,17.79691875
Liatris_aspera,NA,0.252863966,1.38148206,10.66464298
Linaria_vulgaris,52.47755102,0.193254781,0.977123391,21.13532182
Lolium_multiflorum,49.79230769,0.206354592,2.634795829,24.63154114
Lolium_perenne,NA,0.213686753,2.691704054,29.14029262
Medicago_lupulina,30.99117647,0.242184078,1.681139264,26.05028889
Melilotus_albus,106.0117647,0.221433327,2.422323889,21.73906249
Monarda_fistulosa,52.8,0.255507233,0.928187201,24.45021129
Monarda_punctata,47.52222222,0.214135096,0.671033334,14.62740761
Oenothera_biennis,112.48,0.216688645,0.927700959,19.295778
Oxalis_stricta,22.864,0.1585415,1.863016667,43.76007997
Panicum_capillare,68.88333335,0.303222849,0.610624049,29.09091051
Panicum_virgatum,NA,0.395400801,1.717191836,19.08145395
Penstemon_digitalis,79.2,0.303571429,0.0136,15.70250532
Persicaria_lapathifolia,NA,0.241881545,3.01555175,21.74823383
Phleum_pratense,89.35517241,0.309671462,1.222344926,27.13348892
Plantago_lanceolata,50.82380952,0.166771846,0.996403782,15.27154165
Plantago_major,33.95,0.169690927,1.698103214,12.12260747
Portulaca_oleracea,NA,0.084997379,2.462664473,17.47752774
Potentilla_arguta,52.305,0.339758752,2.0998,11.96172249
Potentilla_recta,50.24519231,0.350687007,0.015266667,15.72635264
Ratibida_pinnata,120.3321429,0.27573627,0.44435,11.62028231
